frame,x,y,,,,,,,,,,,,,,,,,,,,
79,106.6956522,29.72972973,,,,,,,,,,,,,,,,,,,,
79,110.0869565,41.35135135,,,,,,,,,,,,,,,,,,,,
80,105.6521739,46.62162162,,,,,,,,,,,,,,,,,,,,
80,106.826087,29.32432432,,,,,,,,,,,,,,,,,,,,
80,110.0869565,41.35135135,,,,,,,,,,,,,,,,,,,,
80,111.5217391,47.43243243,,,,,,,,,,,,,,,,,,,,
81,105.7826087,46.48648649,,,,,,,,,,,,,,,,,,,,
81,106.9565217,29.18918919,,,,,,,,,,,,,,,,,,,,
81,110.2173913,41.08108108,,,,,,,,,,,,,,,,,,,,
81,111.6521739,47.16216216,,,,,,,,,,,,,,,,,,,,
82,105.9130435,46.08108108,,,,,,,,,,,,,,,,,,,,
82,107.0869565,29.45945946,,,,,,,,,,,,,,,,,,,,
82,110.2173913,41.08108108,,,,,,,,,,,,,,,,,,,,
82,111.6521739,47.02702703,,,,,,,,,,,,,,,,,,,,
83,106.4347826,31.75675676,,,,,,,,,,,,,,,,,,,,
83,105.5217391,46.89189189,,,,,,,,,,,,,,,,,,,,
83,95.73913043,41.08108108,,,,,,,,,,,,,,,,,,,,
83,110.6086957,40.67567568,,,,,,,,,,,,,,,,,,,,
83,111.5217391,47.56756757,,,,,,,,,,,,,,,,,,,,
84,106.4347826,32.16216216,,,,,,,,,,,,,,,,,,,,
84,105.9130435,46.21621622,,,,,,,,,,,,,,,,,,,,
84,95.86956522,41.08108108,,,,,,,,,,,,,,,,,,,,
84,110.7391304,40.40540541,,,,,,,,,,,,,,,,,,,,
84,111.5217391,47.43243243,,,,,,,,,,,,,,,,,,,,
85,106.4347826,32.43243243,,,,,,,,,,,,,,,,,,,,
85,105.9130435,46.08108108,,,,,,,,,,,,,,,,,,,,
85,95.86956522,41.08108108,,,,,,,,,,,,,,,,,,,,
85,110.7391304,40.27027027,,,,,,,,,,,,,,,,,,,,
85,111.5217391,47.56756757,,,,,,,,,,,,,,,,,,,,
86,107.2173913,31.21621622,,,,,,,,,,,,,,,,,,,,
86,95.60869565,41.89189189,,,,,,,,,,,,,,,,,,,,
86,105.6521739,47.02702703,,,,,,,,,,,,,,,,,,,,
86,112.0434783,46.75675676,,,,,,,,,,,,,,,,,,,,
86,110.7391304,40.40540541,,,,,,,,,,,,,,,,,,,,
