x_Point,y_Point,PressureRating,Team,TimeStamp
51,53,0,Blue,17.82
46,55,0,Blue,17.83
46,55,0,Blue,17.85
46,55,0,Blue,17.87
46,55,0,Blue,17.87
46,55,0,Blue,17.88
51,54,0,Blue,17.9
50,54,0,Blue,17.92
50,54,1,Blue,17.93
50,54,1,Blue,17.95
50,54,1,Blue,17.95
50,54,1,Blue,17.97
50,54,0,Blue,17.98
50,54,0,Blue,18.0
50,54,0,Blue,18.02
50,54,0,Blue,18.03
50,55,0,Blue,18.05
50,55,0,Blue,18.05
49,55,0,Blue,18.07
49,55,0,Blue,18.08
49,55,0,Blue,18.1
49,55,0,Blue,18.12
49,55,1,Blue,18.13
49,56,0,Blue,18.15
49,56,0,Blue,18.17
49,56,0,Blue,18.18
49,56,0,Blue,18.2
49,57,0,Blue,18.22
49,57,0,Blue,18.22
49,57,0,Blue,18.23
48,57,0,Blue,18.25
48,58,0,Blue,18.27
48,57,0,Blue,18.28
48,57,0,Blue,18.3
48,58,0,Blue,18.32
48,58,0,Blue,18.33
48,58,0,Blue,18.35
48,58,0,Blue,18.37
48,58,0,Blue,18.39
48,59,0,Blue,18.39
47,59,0,Blue,18.4
47,60,0,Blue,18.42
47,58,0,Blue,18.44
47,60,0,Blue,18.45
47,60,0,Blue,18.47
47,60,0,Blue,18.49
47,61,0,Blue,18.5
47,60,0,Blue,18.5
47,60,0,Blue,18.52
47,60,0,Blue,18.54
47,60,0,Blue,18.55
47,61,0,Blue,18.57
47,61,0,Blue,18.59
47,61,0,Blue,18.6
58,52,1,Blue,18.6
47,61,0,Blue,18.6
46,61,0,Blue,18.62
46,62,0,Blue,18.64
46,62,0,Blue,18.65
46,62,0,Blue,18.67
46,63,0,Blue,18.69
46,63,0,Blue,18.7
46,63,0,Blue,18.72
46,63,0,Blue,18.74
46,63,0,Blue,18.75
46,62,0,Blue,18.77
46,62,0,Blue,18.8
46,62,0,Blue,18.82
46,63,0,Blue,18.84
46,62,0,Blue,18.85
46,63,0,Blue,18.87
46,63,0,Blue,18.89
46,64,0,Blue,18.9
46,63,0,Blue,18.92
45,63,0,Blue,18.94
45,63,0,Blue,18.94
45,63,0,Blue,18.95
45,63,0,Blue,18.97
45,63,0,Blue,18.99
45,64,0,Blue,19.0
45,64,0,Blue,19.02
45,63,0,Blue,19.04
45,63,0,Blue,19.05
45,63,0,Blue,19.05
45,63,0,Blue,19.07
45,63,0,Blue,19.09
45,63,0,Blue,19.1
45,63,0,Blue,19.12
44,63,1,Blue,19.14
40,64,1,Red,19.15
40,64,1,Red,19.17
44,63,1,Blue,19.19
35,59,0,Red,19.4
35,60,0,Red,19.42
36,60,0,Red,19.44
35,60,0,Red,19.45
36,60,0,Red,19.47
35,58,0,Red,19.65
34,57,0,Red,19.69
50,38,0,Blue,19.7
35,58,0,Red,19.7
32,52,0,Blue,19.74
53,56,0,Red,19.74
32,52,0,Blue,19.75
32,52,0,Blue,19.77
32,52,0,Blue,19.79
32,52,0,Blue,19.8
32,52,3,Blue,19.82
31,51,0,Blue,19.92
31,51,0,Blue,19.94
31,51,0,Blue,19.95
31,51,0,Blue,19.97
31,50,0,Blue,19.99
31,50,0,Blue,20.0
31,51,0,Blue,20.02
31,51,0,Blue,20.02
31,50,0,Blue,20.05
31,51,0,Blue,20.07
30,50,0,Blue,20.09
31,51,0,Blue,20.1
30,50,0,Blue,20.12
30,50,0,Blue,20.14
31,51,0,Blue,20.15
31,51,0,Blue,20.17
31,50,0,Blue,20.19
31,50,0,Blue,20.2
31,50,0,Blue,20.27
31,50,0,Blue,20.29
30,50,0,Blue,20.3
30,51,0,Blue,20.32
30,50,0,Blue,20.35
30,51,0,Blue,20.37
31,52,0,Blue,20.39
31,52,0,Blue,20.4
31,52,0,Blue,20.42
31,52,0,Blue,20.44
31,52,0,Blue,20.47
31,52,0,Blue,20.49
31,52,0,Blue,20.5
31,52,0,Blue,20.52
31,52,0,Blue,20.54
43,24,0,Blue,20.54
31,52,0,Blue,20.55
31,51,0,Blue,20.57
30,51,0,Blue,20.59
30,51,0,Blue,20.6
30,51,0,Blue,20.62
30,51,0,Blue,20.64
30,51,0,Blue,20.65
30,51,0,Blue,20.67
30,51,0,Blue,20.69
30,51,0,Blue,20.7
30,51,0,Blue,20.72
