Starting_Point,Ending_Point,PassCompletion,Team,TS
"(90, 37)","(90, 37)",no pass attempted,Blue,14.26
"(90, 37)","(78, 44)",pass incomplete,Blue,14.26
"(78, 44)","(90, 37)",pass completed,Red,14.76
"(90, 37)","(75, 62)",pass incomplete,Red,14.76
"(75, 62)","(77, 44)",pass completed,Blue,15.03
"(77, 44)","(75, 62)",pass completed,Blue,15.03
"(75, 62)","(75, 62)",no pass attempted,Blue,15.07
"(75, 62)","(75, 62)",no pass attempted,Blue,15.07
"(75, 62)","(75, 62)",no pass attempted,Blue,15.08
"(75, 62)","(75, 43)",pass completed,Blue,15.08
"(75, 43)","(75, 62)",pass completed,Blue,15.1
"(75, 62)","(75, 45)",pass incomplete,Blue,15.1
"(75, 45)","(75, 62)",pass completed,Red,15.13
"(75, 62)","(75, 61)",pass incomplete,Red,15.13
"(75, 61)","(75, 62)",pass completed,Blue,15.2
"(75, 62)","(75, 61)",pass completed,Blue,15.2
"(75, 61)","(75, 61)",no pass attempted,Blue,15.23
"(75, 61)","(76, 61)",pass completed,Blue,15.23
"(76, 61)","(76, 62)",pass completed,Blue,15.25
"(76, 62)","(73, 43)",pass completed,Blue,15.25
"(73, 43)","(73, 43)",no pass attempted,Blue,15.65
"(73, 43)","(55, 53)",pass completed,Blue,15.65
"(55, 53)","(73, 44)",pass completed,Blue,15.85
"(73, 44)","(55, 53)",pass completed,Blue,15.85
"(55, 53)","(55, 53)",no pass attempted,Blue,15.88
"(55, 53)","(55, 53)",no pass attempted,Blue,15.88
"(55, 53)","(55, 53)",no pass attempted,Blue,15.92
"(55, 53)","(55, 53)",no pass attempted,Blue,15.92
"(55, 53)","(55, 53)",no pass attempted,Blue,15.95
"(55, 53)","(55, 51)",pass completed,Blue,15.95
"(55, 51)","(55, 54)",pass completed,Blue,15.98
"(55, 54)","(55, 53)",pass completed,Blue,15.98
"(55, 53)","(55, 52)",pass completed,Blue,16.0
"(55, 52)","(55, 53)",pass completed,Blue,16.0
"(55, 53)","(55, 52)",pass completed,Blue,16.03
"(55, 52)","(55, 53)",pass completed,Blue,16.03
"(55, 53)","(85, 80)",pass completed,Blue,16.05
"(85, 80)","(55, 52)",pass completed,Blue,16.05
"(55, 52)","(55, 52)",no pass attempted,Blue,16.08
"(55, 52)","(55, 53)",pass completed,Blue,16.08
"(55, 53)","(55, 52)",pass completed,Blue,16.12
"(55, 52)","(55, 54)",pass completed,Blue,16.12
"(55, 54)","(55, 52)",pass completed,Blue,16.15
"(55, 52)","(55, 54)",pass completed,Blue,16.15
"(55, 54)","(55, 54)",no pass attempted,Blue,16.18
"(55, 54)","(55, 54)",no pass attempted,Blue,16.18
"(55, 54)","(55, 54)",no pass attempted,Blue,16.22
"(55, 54)","(56, 54)",pass completed,Blue,16.22
"(56, 54)","(55, 54)",pass completed,Blue,16.25
"(55, 54)","(56, 54)",pass completed,Blue,16.25
"(56, 54)","(56, 54)",no pass attempted,Blue,16.28
"(56, 54)","(55, 54)",pass completed,Blue,16.28
"(55, 54)","(56, 54)",pass completed,Blue,16.32
"(56, 54)","(55, 54)",pass completed,Blue,16.32
"(55, 54)","(55, 54)",no pass attempted,Blue,16.35
"(55, 54)","(55, 54)",no pass attempted,Blue,16.35
"(55, 54)","(55, 54)",no pass attempted,Blue,16.38
"(55, 54)","(55, 55)",pass completed,Blue,16.38
"(55, 55)","(55, 54)",pass completed,Blue,16.42
"(55, 54)","(55, 55)",pass completed,Blue,16.42
"(55, 55)","(55, 55)",no pass attempted,Blue,16.45
"(55, 55)","(55, 55)",no pass attempted,Blue,16.45
"(55, 55)","(55, 55)",no pass attempted,Blue,16.47
"(55, 55)","(55, 55)",no pass attempted,Blue,16.47
"(55, 55)","(55, 54)",pass completed,Blue,16.5
"(55, 54)","(55, 55)",pass completed,Blue,16.5
"(55, 55)","(55, 55)",no pass attempted,Blue,16.53
"(55, 55)","(55, 55)",no pass attempted,Blue,16.53
"(55, 55)","(55, 55)",no pass attempted,Blue,16.57
"(55, 55)","(55, 55)",no pass attempted,Blue,16.57
"(55, 55)","(55, 55)",no pass attempted,Blue,16.58
"(55, 55)","(55, 55)",no pass attempted,Blue,16.58
"(55, 55)","(55, 55)",no pass attempted,Blue,16.62
"(55, 55)","(55, 55)",no pass attempted,Blue,16.62
"(55, 55)","(55, 55)",no pass attempted,Blue,16.65
"(55, 55)","(55, 55)",no pass attempted,Blue,16.65
"(55, 55)","(55, 55)",no pass attempted,Blue,16.68
"(55, 55)","(55, 55)",no pass attempted,Blue,16.68
"(55, 55)","(55, 55)",no pass attempted,Blue,16.72
"(55, 55)","(55, 55)",no pass attempted,Blue,16.72
"(55, 55)","(55, 55)",no pass attempted,Blue,16.73
"(55, 55)","(55, 55)",no pass attempted,Blue,16.73
"(55, 55)","(55, 55)",no pass attempted,Blue,16.77
"(55, 55)","(55, 55)",no pass attempted,Blue,16.77
"(55, 55)","(55, 55)",no pass attempted,Blue,16.78
"(55, 55)","(55, 55)",no pass attempted,Blue,16.78
"(55, 55)","(55, 55)",no pass attempted,Blue,16.82
"(55, 55)","(55, 55)",no pass attempted,Blue,16.82
"(55, 55)","(55, 55)",no pass attempted,Blue,16.85
"(55, 55)","(55, 55)",no pass attempted,Blue,16.85
"(55, 55)","(54, 55)",pass completed,Blue,16.88
"(54, 55)","(54, 55)",no pass attempted,Blue,16.88
"(54, 55)","(55, 55)",pass completed,Blue,16.9
"(55, 55)","(54, 55)",pass completed,Blue,16.9
"(54, 55)","(54, 55)",no pass attempted,Blue,16.93
"(54, 55)","(54, 55)",no pass attempted,Blue,16.93
"(54, 55)","(54, 55)",no pass attempted,Blue,16.95
"(54, 55)","(54, 55)",no pass attempted,Blue,16.95
"(54, 55)","(54, 55)",no pass attempted,Blue,16.98
"(54, 55)","(54, 55)",no pass attempted,Blue,16.98
"(54, 55)","(54, 55)",no pass attempted,Blue,17.02
"(54, 55)","(54, 55)",no pass attempted,Blue,17.02
"(54, 55)","(54, 55)",no pass attempted,Blue,17.05
